Area,Area_glatt,Datum,Volume,WD,WD_calc_smooth,Vol_calc
,,2016-08-01,11408.453689338608,3.8681666666666663,,
,,2016-08-02,11131.5231256875,3.8325,,
,,2016-08-03,10847.9315300475,3.7955,,
,,2016-08-04,10511.21034910965,3.7509166666666665,,
,,2016-08-05,10266.72243826465,3.718083333333333,,
,,2016-08-06,10120.471011781872,3.69825,,
8115.0,7844.0,2016-08-07,10059.953439,3.69,3.6809459349,9993.752785402381
,,2016-08-08,10004.491029276314,3.682416666666666,,
,,2016-08-09,9888.594472027504,3.666500000000001,,
,,2016-08-10,12029.595525167986,3.946583333333333,,
,,2016-08-11,17706.704115965265,4.5841666666666665,,
,,2016-08-12,19999.133258271104,4.811333333333333,,
,,2016-08-13,20118.08316663686,4.822749999999999,,
,,2016-08-14,19487.53431923861,4.761833333333334,,
,,2016-08-15,18613.023379967777,4.675666666666666,,
,,2016-08-16,17680.635212827492,4.581499999999999,,
,,2016-08-17,16744.068206101107,4.484333333333333,,
,,2016-08-18,15747.3201995586,4.377833333333332,,
,,2016-08-19,14830.821880105275,4.276833333333333,,
,,2016-08-20,13921.419277967974,4.173416666666665,,
,,2016-08-21,13177.72114592188,4.0862500000000015,,
,,2016-08-22,12329.214913221109,3.983666666666666,,
,,2016-08-23,11549.539347558612,3.8861666666666665,,
,,2016-08-24,10849.835075131876,3.79575,,
,,2016-08-25,10175.64917148188,3.705750000000001,,
,,2016-08-26,9520.145925486882,3.6152500000000014,,
7436.0,7171.0,2016-08-27,8921.519081961873,3.52975,3.4602729906524425,8449.860392859868
,,2016-08-28,8342.411938965282,3.4441666666666677,,
,,2016-08-29,7889.085468749998,3.375,,
,,2016-08-30,7447.328623389652,3.3055833333333333,,
,,2016-08-31,6965.222606751111,3.2273333333333336,,
,,2016-09-01,6497.497806537778,3.1486666666666667,,
,,2016-09-02,6054.264296671112,3.071333333333333,,
,,2016-09-03,5627.4529676400025,2.9939999999999998,,
,,2016-09-04,5246.143182861877,2.9222500000000005,,
,,2016-09-05,5017.60303932465,2.8779166666666662,,
,,2016-09-06,4666.10484595965,2.807583333333333,,
,,2016-09-07,4343.11253536632,2.740416666666667,,
,,2016-09-08,4069.233012071109,2.6813333333333333,,
,,2016-09-09,3799.0855524929852,2.6209166666666666,,
,,2016-09-10,3546.002796825279,2.5621666666666667,,
,,2016-09-11,3306.465137839653,2.5044166666666667,,
,,2016-09-12,3075.433870627501,2.4465000000000003,,
,,2016-09-13,2857.365399782985,2.3895833333333334,,
,,2016-09-14,2652.390832691945,2.3338333333333336,,
,,2016-09-15,2465.152816606876,2.2807500000000003,,
,,2016-09-16,2281.7943712275,2.2265,,
,,2016-09-17,2405.1219268068758,2.26325,,
,,2016-09-18,2556.775944510001,2.3070000000000004,,
,,2016-09-19,2776.074635911872,2.36775,,
,,2016-09-20,2949.8250140400014,2.414,,
,,2016-09-21,3060.14268490132,2.4425833333333333,,
,,2016-09-22,3088.480826305277,2.4498333333333333,,
,,2016-09-23,3060.14268490132,2.4425833333333333,,
,,2016-09-24,2990.730730804445,2.424666666666667,,
,,2016-09-25,2897.240741805277,2.400166666666667,,
3119.0,3012.0,2016-09-26,2778.5374222263204,2.368416666666667,2.096560100421251,1875.4738271947533
,,2016-09-27,2637.1150812829856,2.3295833333333333,,
,,2016-09-28,2492.875599046873,2.28875,,
,,2016-09-29,2352.653994511874,2.24775,,
,,2016-09-30,2206.7668060729857,2.203583333333333,,
,,2016-10-01,2064.1560057968754,2.15875,,
,,2016-10-02,1937.8188681875,2.1175,,
,,2016-10-03,1813.744464824653,2.075416666666667,,
