Datum,Area,Area_glatt,Vol_calc,Volume,WD,WD_calc,WD_calc_smooth
2016-07-07,,,,61492.26033826624,8.485249999999999,,
2016-07-08,,,,61121.14303898844,8.46058333333333,,
2016-07-09,,,,60581.54669462848,8.424583333333333,,
2016-07-10,,,,60002.18896809625,8.38575,,
2016-07-11,,,,59452.79641540624,8.348749999999999,,
2016-07-12,,,,59839.828190873886,8.374833333333333,,
2016-07-13,,,,62111.6252716562,8.526249999999997,,
2016-07-14,,,,64656.45615960182,8.692583333333333,,
2016-07-15,,,,66312.92710885179,8.799083333333332,,
2016-07-16,,,,66831.79731282055,8.832166666666666,,
2016-07-17,,,,66778.11680740624,8.82875,,
2016-07-18,,,,66436.90442354,8.807,,
2016-07-19,,,,65974.21781390179,8.777416666666666,,
2016-07-20,,,,65405.600491918456,8.740916666666665,,
2016-07-21,,,,64805.93686701622,8.702249999999998,,
2016-07-22,,,,64527.73319979623,8.684249999999999,,
2016-07-23,,,,64007.72817686498,8.6505,,
2016-07-24,,,,63470.70503426499,8.615499999999999,,
2016-07-25,,,,63054.17420619622,8.588249999999999,,
2016-07-26,,,,62663.11057896843,8.56258333333333,,
2016-07-27,,,,62980.43856146848,8.583416666666666,,
2016-07-28,,,,63113.957426420544,8.592166666666666,,
2016-07-29,,,,62933.42304202888,8.580333333333332,,
2016-07-30,,,,62551.60352736624,8.55525,,
2016-07-31,,,,62518.67743467178,8.553083333333333,,
2016-08-01,,,,63433.709090871824,8.613083333333334,,
2016-08-02,,,,63837.423940321816,8.639416666666667,,
2016-08-03,,,,63717.19656431849,8.631583333333333,,
2016-08-04,,,,63330.43322789553,8.606333333333332,,
2016-08-05,,,,63182.679809555535,8.596666666666666,,
2016-08-06,,,,64374.7214524822,8.674333333333331,,
2016-08-07,14122.0,13849.0,58482.719130841775,64920.74266842888,8.709666666666665,8.266154667910472,8.28299423890344
2016-08-08,,,,64829.14775115625,8.70375,,
2016-08-09,,,,64612.67583801622,8.689749999999998,,
2016-08-10,,,,69169.95850362889,8.979666666666667,,
2016-08-11,,,,73548.10956894622,9.249249999999998,,
2016-08-12,,,,74517.43589575385,9.307833333333333,,
2016-08-13,,,,74759.7272262851,9.322416666666664,,
2016-08-14,,,,74751.41353592179,9.321916666666663,,
2016-08-15,,,,74531.27044166221,9.308666666666666,,
2016-08-16,,,,74231.35135275513,9.290583333333332,,
2016-08-17,,,,73951.33338442893,9.273666666666667,,
2016-08-18,,,,73449.19384464622,9.243249999999998,,
2016-08-19,,,,72981.62895807388,9.214833333333333,,
2016-08-20,,,,72380.54225280724,9.178166666666668,,
2016-08-21,,,,72089.10083856224,9.160333333333334,,
2016-08-22,,,,71708.67034273999,9.137,,
2016-08-23,,,,71214.27485790178,9.106583333333333,,
2016-08-24,,,,70623.27532833516,9.070083333333336,,
2016-08-25,,,,69943.61220346183,9.027916666666666,,
2016-08-26,,,,69153.97010446222,8.978666666666667,,
2016-08-27,14955.0,14624.0,66963.30007101105,68359.57444862058,8.928833333333333,8.861150310906838,8.840530736655026
2016-08-28,,,,67503.98044754054,8.874833333333333,,
2016-08-29,,,,66802.99043536223,8.830333333333334,,
2016-08-30,,,,66104.38712409622,8.785749999999998,,
2016-08-31,,,,65299.422836335114,8.73408333333333,,
2016-09-01,,,,64413.27857174053,8.676833333333331,,
2016-09-02,,,,63512.81710089628,8.61825,,
2016-09-03,,,,62564.2697378218,8.556083333333332,,
