Datum,WD,Vol,W_change
2016-06-10,7.76025,51057.36185151625,400.8906566388687
2016-06-11,7.789416666666665,51458.25250815512,1197.0854720254647
2016-06-12,7.875833333333335,52655.337980180586,1010.3476076594234
2016-06-13,7.948,53665.68558784001,512.3458238422099
2016-06-14,7.984333333333333,54178.03141168222,1438.340964446259
2016-06-15,8.085416666666667,55616.37237612848,1908.1345784965233
2016-06-16,8.2175,57524.506954625,901.9930998888885
2016-06-17,8.279166666666667,58426.50005451389,613.4652499999938
2016-06-18,8.320833333333333,59039.965304513884,491.8655169545891
2016-06-19,8.354083333333334,59531.83082146847,595.6886357120966
2016-06-20,8.394166666666667,60127.51945718057,341.91522119788715
2016-06-21,8.417083333333332,60469.43467837846,-65.9724961296015
2016-06-22,8.412666666666665,60403.462182248855,-252.35095425263717
2016-06-23,8.395749999999998,60151.11122799622,-363.2906375340026
2016-06-24,8.371333333333332,59787.820590462215,-459.6425500333353
2016-06-25,8.340333333333332,59328.17804042888,-360.7699385937449
2016-06-26,8.315916666666666,58967.408101835135,-237.03353696126578
2016-06-27,8.299833333333332,58730.37456487387,-181.44019924887107
2016-06-28,8.2875,58548.934365625,-305.8432100694263
2016-06-29,8.266666666666667,58243.09115555557,-346.45690401558386
2016-06-30,8.242999999999999,57896.63425153999,915.9719602551413
2016-07-01,8.305416666666666,58812.60621179513,673.5263816648294
2016-07-02,8.350999999999997,59486.13259345996,1111.6167203555742
2016-07-03,8.425666666666665,60597.74931381553,979.9278089362633
2016-07-04,8.490916666666665,61577.6771227518,169.75470826875244
2016-07-05,8.502166666666666,61747.43183102055,22.651775275000546
2016-07-06,8.503666666666666,61770.08360629555,-277.82326802930766
2016-07-07,8.485249999999999,61492.26033826624,-371.11729927780107
2016-07-08,8.46058333333333,61121.14303898844,-539.5963443599758
2016-07-09,8.424583333333333,60581.546694628465,-579.3577265322165
2016-07-10,8.38575,60002.18896809625,-549.392552690013
2016-07-11,8.348749999999999,59452.796415406236,387.03177546765073
2016-07-12,8.374833333333333,59839.828190873886,2271.797080782315
2016-07-13,8.526249999999997,62111.6252716562,2544.830887945609
2016-07-14,8.692583333333333,64656.45615960181,1656.470949249975
2016-07-15,8.799083333333332,66312.92710885179,518.8702039687632
2016-07-16,8.832166666666666,66831.79731282055,-53.68050541430421
2016-07-17,8.82875,66778.11680740624,-341.21238386623736
2016-07-18,8.807,66436.90442354,-462.6866096382146
2016-07-19,8.777416666666666,65974.21781390179,-568.6173219833363
2016-07-20,8.740916666666665,65405.600491918456,-599.6636249022413
2016-07-21,8.702249999999998,64805.936867016215,-278.20366721999017
2016-07-22,8.684249999999999,64527.733199796225,-520.0050229312401
2016-07-23,8.6505,64007.728176864985,-537.0231425999955
2016-07-24,8.615499999999999,63470.70503426499,-416.53082806876046
2016-07-25,8.588249999999999,63054.17420619623,-391.06362722779886
2016-07-26,8.56258333333333,62663.11057896843,317.32798250003543
2016-07-27,8.583416666666666,62980.438561468465,133.51886495207873
2016-07-28,8.592166666666666,63113.957426420544,-180.53438439167076
2016-07-29,8.580333333333332,62933.42304202887,-381.81951466263126
2016-07-30,8.55525,62551.60352736624,-32.92609269446257
2016-07-31,8.553083333333332,62518.67743467178,915.0316562000444
2016-08-01,8.613083333333334,63433.709090871824,403.7148494499852
2016-08-02,8.639416666666667,63837.42394032181,-120.22737600332039
2016-08-03,8.631583333333333,63717.19656431849,-386.76333642294776
2016-08-04,8.606333333333332,63330.43322789554,-147.75341833999846
2016-08-05,8.596666666666666,63182.67980955554,1192.0416429266552
2016-08-06,8.674333333333331,64374.7214524822,546.0212159466828
2016-08-07,8.709666666666665,64920.74266842888,-91.5949172726323
2016-08-08,8.70375,64829.14775115625,-216.47191314001975
2016-08-09,8.689749999999998,64612.67583801623,4557.282665612678
2016-08-10,8.979666666666667,69169.9585036289,4378.151065317317
2016-08-11,9.249249999999998,73548.10956894622,969.3263268076262
2016-08-12,9.307833333333331,74517.43589575385,242.29133053125406
2016-08-13,9.322416666666664,74759.7272262851,-8.313690363313071
2016-08-14,9.321916666666665,74751.41353592179,-220.14309425957617
2016-08-15,9.308666666666666,74531.27044166221,-299.91908890708874
2016-08-16,9.290583333333332,74231.35135275513,-280.0179683262104
2016-08-17,9.273666666666667,73951.33338442892,-502.13953978268546
2016-08-18,9.243249999999998,73449.19384464623,-467.56488657234877
2016-08-19,9.214833333333333,72981.62895807388,-601.0867052666435
2016-08-20,9.178166666666668,72380.54225280724,-291.44141424499685
2016-08-21,9.160333333333334,72089.10083856224,-380.4304958222492
2016-08-22,9.136999999999999,71708.67034273999,-494.3954848382127
2016-08-23,9.106583333333331,71214.27485790178,-590.9995295666158
2016-08-24,9.070083333333335,70623.27532833516,-679.6631248733465
2016-08-25,9.027916666666666,69943.61220346182,-789.6420989995822
2016-08-26,8.978666666666667,69153.97010446223,-794.3956558416976
2016-08-27,8.928833333333332,68359.57444862054,-855.5940010799823
2016-08-28,8.874833333333333,67503.98044754055,-700.9900121783285
2016-08-29,8.830333333333334,66802.99043536223,-698.6033112659934
2016-08-30,8.785749999999998,66104.38712409623,-804.9642877611186
2016-08-31,8.73408333333333,65299.422836335114,-886.1442645945863
2016-09-01,8.676833333333331,64413.27857174053,-900.4614708442605
2016-09-02,8.61825,63512.81710089627,-948.5473630744673
2016-09-03,8.556083333333332,62564.2697378218,-901.1160101533242
2016-09-04,8.496583333333334,61663.153727668476,-352.8323422612593
2016-09-05,8.473166666666666,61310.32138540722,-695.1206520000051
2016-09-06,8.426833333333333,60615.20073340721,-767.9410224116655
