Station name ger: Piz la Ila
Station number: 61690SF
Local ETRS89/UTM-Zone 32 X: 722543
Local ETRS89/UTM-Zone 32 Y: 5160892
Global geogr. longitude: 11,903781
Global geogr. latitude: 46,564724
Height m a.s.l.: 2050
Heighthistory m a.s.l.: [01/01/1950;00:00:00	2050.0]
Parameter name: HS
Parameter type: Schneehöhe
Time series name: LWD_GT/61690SF/HS/Month.Mean
Time series unit: cm
Datum	Uhrzeit	Wert[cm]	Status des Werts
01/02/2008	00:00:00	82,7	40 (Gut)
01/03/2008	00:00:00	95,1	40 (Gut)
01/04/2008	00:00:00	98,1	40 (Gut)
01/05/2008	00:00:00	24,1	40 (Gut)
01/06/2008	00:00:00	0,0	40 (Gut)
01/07/2008	00:00:00	0,0	40 (Gut)
01/08/2008	00:00:00	0,0	40 (Gut)
01/09/2008	00:00:00	0,1	40 (Gut)
01/10/2008	00:00:00	2,3	40 (Gut)
01/11/2008	00:00:00	17,2	40 (Gut)
01/12/2008	00:00:00	108,8	40 (Gut)
01/01/2009	00:00:00	109,6	40 (Gut)
01/02/2009	00:00:00	146,6	40 (Gut)
01/03/2009	00:00:00	152,9	40 (Gut)
01/04/2009	00:00:00	121,8	40 (Gut)
01/05/2009	00:00:00	40,3	40 (Gut)
01/06/2009	00:00:00	0,0	40 (Gut)
01/07/2009	00:00:00	0,0	40 (Gut)
01/08/2009	00:00:00	0,0	40 (Gut)
01/09/2009	00:00:00	0,0	40 (Gut)
01/10/2009	00:00:00	0,0	40 (Gut)
01/11/2009	00:00:00	25,8	40 (Gut)
01/12/2009	00:00:00	89,3	40 (Gut)
01/01/2010	00:00:00	101,4	40 (Gut)
01/02/2010	00:00:00	119,0	40 (Gut)
01/03/2010	00:00:00	124,2	40 (Gut)
01/04/2010	00:00:00	97,3	40 (Gut)
01/05/2010	00:00:00	8,6	40 (Gut)
01/06/2010	00:00:00	0,5	40 (Gut)
01/07/2010	00:00:00	0,0	40 (Gut)
01/08/2010	00:00:00	0,0	40 (Gut)
01/09/2010	00:00:00	0,3	40 (Gut)
01/10/2010	00:00:00	13,9	40 (Gut)
01/11/2010	00:00:00	39,1	40 (Gut)
01/12/2010	00:00:00	71,9	40 (Gut)
01/01/2011	00:00:00	87,1	40 (Gut)
01/02/2011	00:00:00	89,7	40 (Gut)
01/03/2011	00:00:00	96,8	40 (Gut)
01/04/2011	00:00:00	34,7	40 (Gut)
