Station name ger: Rossalm
Station number: 42830SF
Local ETRS89/UTM-Zone 32 X: 737994
Local ETRS89/UTM-Zone 32 Y: 5173329
Global geogr. longitude: 12,111498
Global geogr. latitude: 46,671192
Height m a.s.l.: 2340
Heighthistory m a.s.l.: [01/01/1950;00:00:00	2340.0]
Parameter name: HS
Parameter type: Schneehöhe
Time series name: LWD_OP/42830SF/HS/Month.Mean
Time series unit: cm
Datum	Uhrzeit	Wert[cm]	Status des Werts
01/10/2009	00:00:00	---	255 (255)
01/11/2009	00:00:00	---	255 (255)
01/12/2009	00:00:00	---	255 (255)
01/01/2010	00:00:00	---	255 (255)
01/02/2010	00:00:00	---	255 (255)
01/03/2010	00:00:00	---	255 (255)
01/04/2010	00:00:00	---	255 (255)
01/05/2010	00:00:00	---	255 (255)
01/06/2010	00:00:00	---	255 (255)
01/07/2010	00:00:00	---	255 (255)
01/08/2010	00:00:00	---	255 (255)
01/09/2010	00:00:00	---	255 (255)
01/10/2010	00:00:00	---	255 (255)
01/11/2010	00:00:00	---	255 (255)
01/12/2010	00:00:00	---	255 (255)
01/01/2011	00:00:00	---	255 (255)
01/02/2011	00:00:00	---	255 (255)
01/03/2011	00:00:00	---	255 (255)
01/04/2011	00:00:00	---	255 (255)
01/05/2011	00:00:00	---	255 (255)
01/06/2011	00:00:00	---	255 (255)
01/07/2011	00:00:00	---	255 (255)
01/08/2011	00:00:00	---	255 (255)
01/09/2011	00:00:00	---	255 (255)
01/10/2011	00:00:00	---	255 (255)
01/11/2011	00:00:00	---	255 (255)
01/12/2011	00:00:00	---	255 (255)
01/01/2012	00:00:00	---	255 (255)
01/02/2012	00:00:00	---	255 (255)
01/03/2012	00:00:00	---	255 (255)
01/04/2012	00:00:00	---	255 (255)
01/05/2012	00:00:00	---	255 (255)
01/06/2012	00:00:00	---	255 (255)
01/07/2012	00:00:00	---	255 (255)
01/08/2012	00:00:00	---	255 (255)
01/09/2012	00:00:00	---	255 (255)
01/10/2012	00:00:00	9,5	40 (Gut)
01/11/2012	00:00:00	34,6	40 (Gut)
01/12/2012	00:00:00	75,8	40 (Gut)
01/01/2013	00:00:00	92,3	40 (Gut)
01/02/2013	00:00:00	121,5	40 (Gut)
01/03/2013	00:00:00	148,4	40 (Gut)
01/04/2013	00:00:00	156,7	40 (Gut)
01/05/2013	00:00:00	72,1	40 (Gut)
01/06/2013	00:00:00	21,1	40 (Gut)
01/07/2013	00:00:00	0,0	40 (Gut)
01/08/2013	00:00:00	0,0	40 (Gut)
01/09/2013	00:00:00	0,3	40 (Gut)
01/10/2013	00:00:00	5,9	40 (Gut)
01/11/2013	00:00:00	25,5	40 (Gut)
01/12/2013	00:00:00	40,3	40 (Gut)
01/01/2014	00:00:00	113,5	40 (Gut)
01/02/2014	00:00:00	220,7	40 (Gut)
01/03/2014	00:00:00	202,3	40 (Gut)
01/04/2014	00:00:00	164,0	40 (Gut)
01/05/2014	00:00:00	96,9	40 (Gut)
01/06/2014	00:00:00	8,0	40 (Gut)
01/07/2014	00:00:00	0,0	40 (Gut)
01/08/2014	00:00:00	0,0	40 (Gut)
01/09/2014	00:00:00	0,0	40 (Gut)
01/10/2014	00:00:00	4,7	40 (Gut)
01/11/2014	00:00:00	33,9	40 (Gut)
01/12/2014	00:00:00	57,4	40 (Gut)
