Datum,Sample,d18O,s.d. d18O,d2H,s.d. d2H,Quelle
2019-03-29,LAQU-01-290319,-12.141502220680502,0.06967168122773286,-85.0798385708548,0.2631984257735823,Lavarella
2019-05-31,LAQ-01-310519,-15.186057723002012,0.05416110954632724,-107.59228184284152,0.27744322240230673,Lavarella
2019-07-14,LAQ-02-140719,-13.310068855958484,0.01818697572732276,-94.08848118746343,0.2467600269436044,Lavarella
2019-08-26,LAQ-03-260819,-11.905659799518508,0.03729244462140513,-83.2472448573452,0.08923731685234439,Lavarella
2020-01-09,LAQ-04-090120,-11.723280700914195,0.06272854977524532,-81.93578162835084,0.2955985928547337,Lavarella
2020-07-01,LAQ-05-010720,-13.21288860614028,0.03581001822153765,-92.53274285523688,0.10928113164111528,Lavarella
2019-05-31,QT-01-310519,-12.16985983627683,0.03170246135805868,-84.52860613921102,0.1549025657304369,Pederü
2019-07-14,QT-02-140719,-13.240890236263175,0.016209439631903834,-93.9533153682942,0.3120565060996661,Pederü
2019-08-26,QT-03-260819,-12.94820356036357,0.03530749776107407,-91.75553711838305,0.12905855405132036,Pederü
2020-07-01,QT-04-010720,-13.087586698012581,0.09360257255416547,-91.84187189221674,0.4900474275677677,Pederü
2019-03-29,QNL-01-290319,-12.551849210246539,0.04341857484478266,-88.7099464402122,0.30712081479327025,LimoseeNord
2019-05-31,QNL-02-310519,-13.88819576328749,0.03358426378967795,-99.22892438987567,0.2751182734121405,LimoseeNord
2019-07-14,QNL-03-140719,-12.902147940690579,0.060932594108054815,-91.31293684651092,0.3190106274353001,LimoseeNord
2020-07-01,QNL-04-010720,-12.981324600253787,0.04291156372696574,-90.66894702715256,0.4807087220281097,LimoseeNord
2020-07-01,QSL-010720,-12.472701903070615,0.05849000718345139,-87.38949406597868,0.30125371093944264,LimoseeSüd
