,alt,coords,scode,y_coords,x_coords
Piz La Ila,2050,"[722527.9677363508, 5160922.170433321]",61690SF,5160922.170433321,722527.9677363508
Piz Pisciadù,2985,"[716638.1741070936, 5156970.014924378]",61720WS,5156970.014924378,716638.1741070936
Rossalm,2340,"[737994.1348215364, 5173329.886770956]",42830SF,5173329.886770956,737994.1348215364
St. Martin in Thurn,1150,"[721624.2786291352, 5173594.982584378]",62600MS,5173594.982584378,721624.2786291352
St. Veit in Prags,1285,"[736936.3481504002, 5177817.38335653]",42700MS,5177817.38335653,736936.3481504002
Wolkenstein,1594,"[712242.5448633183, 5158393.907673046]",73500MS,5158393.907673046,712242.5448633183
Lavazé,1809,,,5137060.33,691549.43
